_id,additional,firstName,lastName,role,fullName,occupation
65f46d604578d7314827f617,,,-,Ein Josep (?), -,Schauspieler
6699515b83f66cc36919947e,,,- ? -,Ringelstern, - ? -,Schauspieler
6504166ba47588ad6024a4e4,1922-2002,Erich,Aberle,Polizeipräsident,Erich Aberle,Schauspieler
6504166ba47588ad6024a4e5,,August,Abweser,Bedienter ,August Abweser,Schauspieler
6504166ba47588ad6024a4f0,,Ferdinand,Adam,Kammerdiener des Präsidenten,Ferdinand Adam,Schauspieler
6504166ba47588ad6024a4f3,"1752-1807, geborene Jaquet d.Ä.",Maria Anna,Adamberger,Eleonore,Maria Anna Adamberger,Schauspieler
6504166ba47588ad6024a4f2,"1790-1867, Hofschauspielerin",Antonie,Adamberger,Germania,Antonie Adamberger,Schauspieler
6504166ba47588ad6024a4f4,,Louis,Adami,Samuel,Louis Adami,Schauspieler
6504166ba47588ad6024a4f8,eigtl. Adolf Foglar,,Adolphi,Buyk, Adolphi,Schauspieler
6504166ba47588ad6024a4e8,geb. Matras (1828-1878),Fanny,Aigner,Ernestine,Fanny Aigner,Schauspieler
6504166ba47588ad6024b281,,Zoe,Akins,,Zoe Akins,Schauspieler
6504166ba47588ad6024a4ec,1874-1980,Rosa,Albach-Retty,Eva,Rosa Albach-Retty,Schauspieler
6504166ba47588ad6024a4ed,1906-1967,Wolfgang,Albach-Retty,Der Milchstrassenmann,Wolfgang Albach-Retty,Schauspieler
6504166ba47588ad6024a4ee,,Herr,Albert,1. Freiwilliger,Herr Albert,Schauspieler
6504166ba47588ad6024a4fd,"1856-1893, Hofschauspielerin",Hermine,Albrecht,Helouin,Hermine Albrecht,Schauspieler
66c10795797f4aaa6ae1a13a,,Edmonda,Aldini,Clitennestra,Edmonda Aldini,Schauspieler
6504166ba47588ad6024b286,,Vittorio,Alfieri,,Vittorio Alfieri,Schauspieler
6504166ba47588ad6024a506,,Lisi,Allan,Krankes Mädchen,Lisi Allan,Schauspieler
6504166ba47588ad6024a50e,,Harry,Alsen,Bellmaus,Harry Alsen,Schauspieler
6504166ba47588ad6024a517,,Fritz,Alten,Osrik,Fritz Alten,Schauspieler
6504166ba47588ad6024a51b,1844-1910,Josef,Altmann,Don Eusebio,Josef Altmann,Schauspieler
651691d696c724dc0090c1e3,,Alexandra,Altmann,Karkhan,Alexandra Altmann,Schauspieler
6504166ba47588ad6024b28e,,Axel von,Ambesser,Bearbeitung,Axel von Ambesser,Schauspieler
6504166ba47588ad6024a50b,,Ernst,Anders,Telemach,Ernst Anders,Schauspieler
671615e8f135e6832011d77b,,Hans Christian,Andersen,,Hans Christian Andersen,Schauspieler
6504166ba47588ad6024a510,1888-1968,Ludwig,Andersen,Ein Zeitungsverkäufer,Ludwig Andersen,Schauspieler
6504166ba47588ad6024a511,,Paul,André,Buyk,Paul André,Schauspieler
6504166ba47588ad6024a523,,Rosa,Anschütz,Käthchen,Rosa Anschütz,Schauspieler
6504166ba47588ad6024a521,1785-1865,Heinrich,Anschütz,Rätin,Heinrich Anschütz,Schauspieler
6504166ba47588ad6024b5f6,,Roderich,Anschütz,,Roderich Anschütz,Schauspieler
6504166ba47588ad6024a519,"1819-1895, verehel. Koberwein",Auguste,Anschütz,Rätin,Auguste Anschütz,Schauspieler
6504166ba47588ad6024a51d,1797-1855,Eduard,Anschütz,"Horatio, Hamlets Freund",Eduard Anschütz,Schauspieler
6504166ba47588ad6024a51f,"1797-1866, geb. Butenop",Emilie,Anschütz,Rätin,Emilie Anschütz,Schauspieler
6504166ba47588ad6024a524,1881-1945,Helene,Ansion,"Benjamine, dessen Tochter",Helene Ansion,Schauspieler
6504166ba47588ad6024a530,,Anna,Ardt,Babette,Anna Ardt,Schauspieler
651691d696c724dc0090c1f8,,Elisabeth,Aref,mit,Elisabeth Aref,Schauspieler
6504166ba47588ad6024a531,,Peter,Arens,"Don Floriano, ein Edelmann",Peter Arens,Schauspieler
6504166ba47588ad6024b5fe,,Frangois Huguet,Armand,,Frangois Huguet Armand,Schauspieler
6504166ba47588ad6024b5ff,,Paul,Armont,,Paul Armont,Schauspieler
6504166ba47588ad6024a51c,1842-1910,Carl,Arnau,Geist von Hamlets Vater,Carl Arnau,Schauspieler
6504166ba47588ad6024a528,,Wilhelm,Arndt,Marecat,Wilhelm Arndt,Schauspieler
6504166ba47588ad6024a520,1861-1941,Ernst,Arndt,Marecat,Ernst Arndt,Schauspieler
6504166ba47588ad6024a529,,Angelica,Arndts,Eine Jumpfer,Angelica Arndts,Schauspieler
6504166ba47588ad6024a52b,,Edeltraude,Arnoscht,"Anneliese, ihr Kind",Edeltraude Arnoscht,Schauspieler
6504166ba47588ad6024a52d,,Marie,Arnsburg,Heldensinn,Marie Arnsburg,Schauspieler
6504166ba47588ad6024a52c,1816-1891,Friedrich Louis,Arnsburg,Präsident von Stein,Friedrich Louis Arnsburg,Schauspieler
6504166ba47588ad6024a535,geb. Erhart,Anna,Arth,"Babette, Dienstmädchen im Hause des Rats",Anna Arth,Schauspieler
6504166ba47588ad6024a543,1886-1958,Raoul,Aslan,Mars,Raoul Aslan,Schauspieler
690c5f8a52365fce4c987d8d,,Edward,Atienza,Ein Narr,Edward Atienza,Schauspieler
690c5f7b52365fce4c987d54,,Rosalind,Atkinson,Eine Amme,Rosalind Atkinson,Schauspieler
6504166ba47588ad6024a548,,Blanche,Aubry,Le phantome de Marseille,Blanche Aubry,Schauspieler
690c5ee352365fce4c987b13,,Maxine,Audley,"Tamora,Königin der Goten",Maxine Audley,Schauspieler
6504166ba47588ad6024a549,1923-2004,Erich,Auer,Die heiligen drei Könige von Totenleben (Lernert-Holenia),Erich Auer,Schauspieler
6504166ba47588ad6024b60b,,Raoul,Auernheimer,Deutsch,Raoul Auernheimer,Schauspieler
6504166ba47588ad6024b60c,,Emile,Augier,,Emile Augier,Schauspieler
65dca23433d0e71d3f837ea3,,Josepha,Aurnhammer,,Josepha Aurnhammer,Schauspieler
