_id,additional,firstName,lastName,fullName,gnd,start_date_written,end_date_written,role,occupation
6504166ba47588ad6024b405,,Richard,Hoffmann,Richard Hoffmann,,,,Deutsch,Schauspieler
6504166ba47588ad6024b1a7,,Hans,Wengraf,"Wengraf, John",136962327,1897-04-23,1974-05-04,Regie,Schauspieler
6504166ba47588ad6024a9d4,,Stefan,Hlawa,"Hlawa, Stefan",116917822,1896-02-02,1977-06-05,Bühnenbild,Schauspieler
6504166ba47588ad6024ac3c,1876-1962,Lili,Marberg,"Marberg, Lili",116758570,1876-03-09,1962-04-08,"Frau von Cypressenburg, Witwe",Schauspieler
658f03ce51cd38b410089bda,,Barbara,Uth,Barbara Uth,,,,Florence Hill,Schauspieler
6504166ba47588ad6024afcc,,Alma,Seidler,"Seidler, Alma",117464597,1899-06-08,1977-12-08,"Marianne, seine Frau",Schauspieler
6504166ba47588ad6024a678,,Maria,Burg,"Burg, Maria",12624409X,,,"Kari, eine Häuslersfrau",Schauspieler
6504166ba47588ad6024a5e4,1897-1959,Ulrich,Bettac,"Bettac, Ulrich",11615571X,1897-05-02,1959-04-20,König Prusias,Schauspieler
6504166ba47588ad6024b0cc,1854-1951,Willy,Thaller,"Thaller, Wilhelm",11729859X,1854-08-17,1941-04-07,Matthias Gunglbauer,Schauspieler
6504166ba47588ad6024a7b1,"1931-1972, danach als Gast",Richard,Eybner,"Eybner, Richard",118531530,1896-03-17,1986-06-20,Autoagent,Schauspieler
6504166ba47588ad6024a970,,Otto,Hartmann,Otto Hartmann,,,,"Christoph, Bauernbursche",Schauspieler
6504166ba47588ad6024b13e,1904-1972,Eduard,Volters,"Volters, Eduard",1264971346,1904-05-09,1972-10-22,Berényi,Schauspieler
6504166ba47588ad6024a52b,,Edeltraude,Arnoscht,Edeltraude Arnoscht,,,,3. Säterin,Schauspieler
6504166ba47588ad6024b35f,,Walter,Ellis,"Ellis, Walter",139802614,1874,1956,,Schauspieler
6504166ba47588ad6024a89c,1878-1974,Prof. Remigius,Geyling,Prof. Remigius Geyling,,,,Kostümbildner,Schauspieler
6504166ba47588ad6024a990,1888-1954,Wilhelm,Heim,Wilhelm Heim,,,,Direktor Berthier,Schauspieler
6504166ba47588ad6024b14c,1904-1992,Hilde,Wagener,"Wagener, Hilde",119286009,1904-09-26,1992-12-26,Junia Fitzroy,Schauspieler
6568ee8c0080658502207fed,1886-1965,Franz,Höbling,"Höbling, Franz",116922796,1886-09-09,1965-02-14,Fürst Wassili Schuiskij,Schauspieler
6504166ba47588ad6024ab30,,Maria,Kramer,Maria Kramer,,,,Ilonka,Schauspieler
6504166ba47588ad6024b069,,Lilly,Stepanek,"Stepanek, Lilly",117257974,1912-07-18,2004-05-24,Alitta,Schauspieler
658f087c51cd38b410089d5b,,Fred,Steinbacher,"Steinbacher, Fred",106181839X,,,Ein Gartenknecht,Schauspieler
6504166ba47588ad6024b794,,Fritz,Koselka,"Koselka, Fritz",1328283550,1905-07-24,,,Schauspieler
6504166ba47588ad6024b7d7,,Lola,Lorme,"Lorme, Lola",117217808,1883-12-23,1964-02-20,Deutsch,Schauspieler
658f683051cd38b4100b44b5,,G.,Ranky,"Ranky, Paul",1158866011,,,Musik,Schauspieler
6504166ba47588ad6024b05e,"Bearb., Autor",Alexander,Steinbrecher,"Steinbrecher, Alexander",118753142,1910-06-16,1982-04-06,Musik,Schauspieler
6504166ba47588ad6024a778,"1919-1938, 1945-1981",Karl,Eidlitz,"Eidlitz, Karl",116418648,1894-10-26,1981-09-26,Regie,Schauspieler
6504166ba47588ad6024ac97,,Albert,Meithner,Albert Meithner,,,,Musikalische Leitung,Schauspieler
6504166ba47588ad6024ac37,1881-1960,Ferdinand,Maierhofer,"Maierhofer, Ferdinand",142430226,1881-04-09,1960-06-06,Schankbursche,Schauspieler
6504166ba47588ad6024aa3d,,Julia,Janssen,"Janssen, Julia",1062279220,1908-12-10,1982-12-24,Amalie,Schauspieler
6504166ba47588ad6024ac86,1913-1953,Maria,Mayen,"Mayen-Reimers, Maria",1019408758,1892-05-11,1978-07-15,Phöbe,Schauspieler
650c0541258213a8dc5f9b23,,Fred,Liewehr,"Liewehr, Fred",117001007,1909-06-17,1993-07-19,André Tilwyk,Schauspieler
6504166ba47588ad6024b251,1896-1977,Philipp,Zeska,"Zeska, Philipp von",116983841,1896-04-27,1977-08-05,Lucien Leroy,Schauspieler
6504166ba47588ad6024a98a,1884-1947,Reinhold,Haeussermann,"Häussermann, Reinhold",130170402,1884-02-10,1947-04-04,Doktor Emile Bonnet,Schauspieler
